,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,posicion,contrato,Value,Wage,Special
0,205849,E. Andrada,27,https://cdn.sofifa.org/players/4/19/205849.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,81,GK,2018 ~ 2022,€8.5M,€8.5M,1186
1,231340,G. Montiel,21,https://cdn.sofifa.org/players/4/19/231340.png,Argentina,https://cdn.sofifa.org/flags/52.png,75,82,RB,2015 ~ 2021,€8M,€8M,1898
2,193601,G. Pezzella,27,https://cdn.sofifa.org/players/4/19/193601.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,82,RCB,2018 ~ 2022,€14.5M,€14.5M,1687
3,183892,G. Mercado,31,https://cdn.sofifa.org/players/4/19/183892.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,79,LCB,2016 ~ 2019,€8.5M,€8.5M,1987
4,211256,N. Tagliafico,25,https://cdn.sofifa.org/players/4/19/211256.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,84,LB,2018 ~ 2022,€22M,€22M,2073
5,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,94,RM,2015 ~ 2022,€89M,€89M,2092
6,226226,G. Lo Celso,22,https://cdn.sofifa.org/players/4/19/226226.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,88,RCM,2019 ~ 2023,€30M,€30M,2147
7,207439,L. Paredes,24,https://cdn.sofifa.org/players/4/19/207439.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,85,LCM,2019 ~ 2023,€19.5M,€19.5M,2124
8,193061,R. Pereyra,27,https://cdn.sofifa.org/players/4/19/193061.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,LM,2016 ~ 2021,€15.5M,€15.5M,2053
9,158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,94,CF,2004 ~ 2021,€110.5M,€110.5M,2217
10,231478,L. Martínez,20,https://cdn.sofifa.org/players/4/19/231478.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,88,ST,2018 ~ 2023,€22.5M,€22.5M,1915
11,224334,M. Acuña,26,https://cdn.sofifa.org/players/4/19/224334.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,81,SUB,2017 ~ 2023,€19M,€19M,2281
12,215061,D. Benedetto,28,https://cdn.sofifa.org/players/4/19/215061.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,SUB,2016 ~ 2021,€15.5M,€15.5M,1970
